;Model;co2
0;M6 Coupe;519.0
1;X3 sDrive28i;374.0
2;Q50S Red Sport;402.0
3;John Cooper Works Convertible;327.0
4;Sedona SX;433.0
5;Sedona SXL;476.0
6;Escape FWD;357.0
7;R15 Pickup 2WD;592.47
8;MKC AWD;404.0
9;Sierra 15 Hybrid 4WD;489.0
10;650i xDrive Convertible;486.0
11;GranTurismo;572.0
12;Fusion FWD;328.0
13;Sorento FWD;397.0
14;Sorento AWD;414.0
15;Acadia FWD;386.0
16;R15 Pickup 2WD;535.79
17;Rio;287.0
18;Cayenne S;452.0
19;Q50 AWD;406.0
20;Model S (75 kW-hr battery pack);0.0
21;R25 Pickup 2WD;592.47
22;Legacy AWD;387.0
23;Sonata;307.0
24;R25 Pickup 2WD;592.47
25;Forester AWD;315.0
26;911 Carrera Cabriolet;365.0
27;R25 Pickup 2WD;634.79
28;C300 Coupe;347.0
29;Beetle Dune;329.0
30;Huracan Spyder;547.0
31;86;373.0
32;Phantom Coupe;638.0
33;XF;377.0
34;R25 Pickup 2WD;598.82
35;Equinox FWD;355.0
36;Traverse AWD;518.0
37;Navigator L 4WD;546.0
38;CX-9 4WD;384.0
39;G90 RWD;482.0
40;K900;448.0
41;Tucson FWD;342.0
42;GT-R;484.0
43;S60 AWD;343.0
44;Forte;301.0
45;XC60 AWD;395.0
46;Mustang;370.0
47;Mustang;428.0
48;Mustang Performance Package;370.0
49;Mustang Convertible;386.0
50;XTS AWD;439.0
51;MDX AWD;404.0
52;Explorer FWD;452.0
53;Explorer AWD FFV;475.0
54;Cayenne Turbo S;536.0
55;SL450;383.0
56;AMG SL63;468.0
57;ATS;379.0
58;T10 (S10) Pickup 4WD;444.35
59;Accord;350.0
60;Accord;362.0
61;Accord;334.0
62;MKZ FWD;425.0
63;535i Gran Turismo;405.0
64;535i xDrive Gran Turismo;419.0
65;Quattroporte GTS;517.0
66;Fit;281.0
67;Silverado 15 Hybrid 2WD;447.0
68;Silverado C15 2WD;479.0
69;Silverado K15 4WD;531.0
70;Silverado K15 4WD;491.0
71;Sierra K15 4WD;492.0
72;Sierra K15 4WD;474.0
73;Silverado C15 Cab Chassis 2WD;523.0
74;Sierra K15 Cab Chassis 4WD;523.0
75;Tiguan;412.0
76;Range Rover Evoque;372.0
77;Range Rover Evoque Convertible;391.0
78;Tahoe C1500 2WD;477.0
79;Yukon C1500 2WD;512.0
80;Tahoe K1500 4WD;497.0
81;Suburban K1500 4WD;502.0
82;Yukon K1500 XL 4WD;553.0
83;Levante;548.0
84;V10 (K10) Pickup 4WD;634.79
85;S7;427.0
86;GTC4Lusso;661.0
87;Passat;329.0
88;A8 L;397.0
89;Patriot 4WD;400.0
90;Compass 4WD;400.0
91;Cooper Convertible;281.0
92;V10 (K10) Pickup 4WD;636.25
93;TLX FWD;358.0
94;M3;438.0
95;M4 Coupe;459.0
96;S6;423.0
97;500 L;356.0
98;Transit Connect Van FFV;392.0
99;Compass FWD;378.0
100;Tiguan 4motion;424.0
101;X6 sDrive35i;426.0
102;SLC300;324.0
103;500;326.0
104;V20 Pickup 4WD;598.82
105;S3;373.0
106;Cooper S Hardtop 4 door;316.0
107;QX70 RWD;457.0
108;Cherokee FWD;361.0
109;Cherokee FWD;361.0
110;Cherokee 4WD;378.0
111;Dakota Pickup 4WD;555.44
112;Dakota Pickup 4WD;555.44
113;Grand Cherokee 4WD;533.0
114;Grand Cherokee SRT 4WD;592.0
115;Corvette;503.0
116;TTS Coupe;358.0
117;230i xDrive Coupe;325.0
118;Spark;268.0
119;Yaris iA;249.0
120;Q3 quattro;387.0
121;330i;360.0
122;C300 4matic;333.0
123;Golf R;347.0
124;CTS;481.0
125;CTS AWD;368.0
126;330i xDrive Gran Turismo;335.0
127;750i;441.0
128;750i xDrive;459.0
129;Alpina B7 xDrive;481.0
130;Ghost EWB;627.0
131;330i xDrive Sports Wagon;335.0
132;Sonic 5;295.0
133;Sonic 5;281.0
134;Silverado C15 2WD;475.0
135;Trax;313.0
136;Trax AWD;334.0
137;Forester AWD;368.0
138;488 Spider;501.0
139;W250 Pickup 4WD;807.91
140;Q60;353.0
141;440i Coupe;358.0
142;GTI;325.0
143;Jetta;311.0
144;Golf;305.0
145;QX50;445.0
146;Tacoma 4WD;481.0
147;Tacoma 4WD Double Cab Off-Road;483.0
148;W250 Pickup 4WD;807.91
149;F150 Pickup 4WD;683.62
150;TT Coupe quattro;336.0
151;340i;395.0
152;440i Coupe;395.0
153;C300;319.0
154;Mulsanne;652.0
155;340i xDrive Gran Turismo;374.0
156;Continental  AWD;467.0
157;F150 Pickup 4WD;634.79
158;A4 allroad quattro;349.0
159;Crosstrek AWD;311.0
160;Prius;171.0
161;Soul;334.0
162;RAV4 LE/XLE;338.0
163;GX 460;548.0
164;Veloster;288.0
165;XE AWD;299.0
166;Forte Koup;348.0
167;200;323.0
168;900;493.72
169;F250 Pickup 4WD;634.79
170;Q50S Red Sport;398.0
171;Q50 AWD;408.0
172;Q50S Red Sport  AWD;412.0
173;Q50 AWD;365.0
174;F250 Pickup 4WD;683.62
175;ES 300h;223.0
176;S550 4matic;452.0
177;Tundra 4WD FFV;604.0
178;C300 4matic Convertible;360.0
179;S550 4matic Coupe;443.0
180;Lancer;295.0
181;Altima SR;297.0
182;T15 (S15) Pickup 4WD;423.19
183;Altima;347.0
184;HR-V AWD;314.0
185;Pathfinder 2WD;395.0
186;RX 450h AWD;297.0
187;Soul Electric;0.0
188;X5 xDrive40e;248.0
189;RC 300 AWD;415.0
190;CLA250 4matic;336.0
191;LS 460;460.0
192;LS 460 AWD;486.0
193;900;467.74
194;LS 460 L AWD;486.0
195;GS 350;388.0
196;GS 200t;345.0
197;Optima;286.0
198;Optima;360.0
199;QX60 FWD;399.0
200;QX60 AWD;410.0
201;V15 Pickup 4WD;592.47
202;Wrangler Unlimited 4WD;502.0
203;QX60 Hybrid FWD;341.0
204;i8;199.0
205;Camaro;560.0
206;V15 Pickup 4WD;634.79
207;Sentra;298.0
208;Sentra;318.0
209;F150 2WD BASE PAYLOAD LT TIRE;423.0
210;F150 4WD BASE PAYLOAD LT TIRE;467.0
211;NX 200t AWD;364.0
212;NX 300h AWD;281.0
213;Outlander 4WD;388.0
214;3 4-Door;284.0
215;3 4-Door;312.0
216;3 4-Door;284.0
217;3 5-Door;291.0
218;Charger;389.0
219;Charger SRT;486.0
220;Juke;307.0
