Brand,Model,PriceUSD
Tesla ,Model 3 Long Range Dual Motor,58808.8
Volkswagen ,ID.3 Pure,31800.0
Polestar ,2,59826.4
BMW ,iX3 ,72122.40000000001
Honda ,e ,34976.82
Lucid ,Air ,111300.0
Volkswagen ,e-Golf ,33814.0
Peugeot ,e-208 ,31462.920000000002
Tesla ,Model 3 Standard Range Plus,49162.8
Audi ,Q4 e-tron ,58300.0
Mercedes ,EQC 400 4MATIC,73653.04000000001
Nissan ,Leaf ,30988.04
Hyundai ,Kona Electric 64 kWh,43242.700000000004
BMW ,i4 ,68900.0
Hyundai ,IONIQ Electric,36526.54
Volkswagen ,ID.3 Pro S,43392.16
Porsche ,Taycan Turbo S,191627.86000000002
Volkswagen ,e-Up! ,22706.260000000002
MG ,ZS EV,31800.0
Mini ,Cooper SE ,33581.86
Opel ,Corsa-e ,30894.760000000002
Tesla ,Model Y Long Range Dual Motor,62137.200000000004
Skoda ,Enyaq iV 50,37100.0
Audi ,e-tron GT ,132500.0
Tesla ,Model 3 Long Range Performance,65168.8
Volkswagen ,ID.4 ,47700.0
Volkswagen ,ID.3 Pro,34980.0
Volvo ,XC40 P8 AWD Recharge,64063.22
BMW ,i3 120 Ah,40298.020000000004
Peugeot ,e-2008 SUV ,36422.66
Audi ,e-tron 50 quattro,71399.48000000001
Kia ,e-Niro 64 kWh,40391.3
Renault ,Zoe ZE50 R110,33055.04
Tesla ,Cybertruck Tri Motor,79500.0
Mazda ,MX-30 ,34604.76
Nissan ,Leaf e+,39471.22
Lexus ,UX 300e,53000.0
CUPRA ,el-Born ,47700.0
Renault ,Zoe ZE50 R135,35120.98
Mercedes ,EQA ,47700.0
Tesla ,Model S Long Range,84789.40000000001
Hyundai ,Kona Electric 39 kWh,36009.26
Audi ,e-tron Sportback 55 quattro,86537.34000000001
Skoda ,CITIGOe iV ,26006.04
SEAT ,Mii Electric ,21336.74
Kia ,e-Soul 64 kWh,39047.22
Opel ,Ampera-e ,44420.36
Porsche ,Taycan 4S,109121.70000000001
Lightyear ,One ,157940.0
Aiways ,U5 ,38220.420000000006
Audi ,e-tron 55 quattro,84211.7
Tesla ,Roadster ,227900.0
Opel ,Mokka-e ,37100.0
Skoda ,Enyaq iV 80,42400.0
Tesla ,Model X Long Range,91149.40000000001
Honda ,e Advance,38076.26
DS ,3 Crossback E-Tense,39667.32
Renault ,Twingo ZE,26277.4
Citroen ,e-C4 ,42400.0
Tesla ,Model S Performance,102809.40000000001
Renault ,Zoe ZE40 R110,30988.04
Tesla ,Model Y Long Range Performance,69557.2
Nissan ,Ariya 87kWh,53000.0
Jaguar ,I-Pace ,79872.06
Ford ,Mustang Mach-E ER RWD,57743.5
Porsche ,Taycan 4S Plus,115860.12000000001
Nissan ,e-NV200 Evalia ,35240.76
Tesla ,Cybertruck Dual Motor,58300.0
Renault ,Kangoo Maxi ZE 33,40280.0
Ford ,Mustang Mach-E ER AWD,66674.0
BMW ,i3s 120 Ah,44017.560000000005
Skoda ,Enyaq iV 80X,47700.0
Porsche ,Taycan Cross Turismo ,159000.0
Byton ,M-Byte 95 kWh 4WD,67840.0
Sono ,Sion ,27030.0
Kia ,e-Niro 39 kWh,36464.0
Audi ,Q4 Sportback e-tron ,60950.0
Smart ,EQ forfour ,23351.800000000003
Ford ,Mustang Mach-E SR AWD,57240.0
Porsche ,Taycan Turbo,157199.06
Volkswagen ,ID.3 1st,41326.22
Tesla ,Model X Performance,109169.40000000001
Smart ,EQ fortwo coupe,22670.22
Ford ,Mustang Mach-E SR RWD,49714.0
Mercedes ,EQV 300 Long,74868.86
Fiat ,500e Hatchback,36994.0
Tesla ,Cybertruck Single Motor,47700.0
Audi ,e-tron Sportback 50 quattro,73724.06
Skoda ,Enyaq iV vRS,50350.0
Skoda ,Enyaq iV 60,39750.0
Audi ,e-tron S 55 quattro,99428.0
Smart ,EQ fortwo cabrio,26038.9
Kia ,e-Soul 64 kWh,39047.22
Nissan ,Ariya e-4ORCE 87kWh,60950.0
Fiat ,500e Convertible,40174.0
Volkswagen ,ID.3 Pro Performance,37709.5
Kia ,e-Soul 39 kWh,35120.98
Byton ,M-Byte 72 kWh 2WD,56710.0
Nissan ,Ariya 63kWh,47700.0
Audi ,e-tron S Sportback 55 quattro,101813.0
Nissan ,Ariya e-4ORCE 63kWh,53000.0
Nissan ,Ariya e-4ORCE 87kWh Performance,68900.0
Byton ,M-Byte 95 kWh 2WD,65720.0
