Model,Year,Brand,Fuel
NSX,2022,Acura,Hybrid Electric
A3 ,2022,Audi,Hybrid Electric
A3 quattro,2022,Audi,Hybrid Electric
A4 allroad quattro,2022,Audi,Hybrid Electric
A4 quattro,2022,Audi,Hybrid Electric
A4 S line quattro,2022,Audi,Hybrid Electric
A5 Cabriolet quattro,2022,Audi,Hybrid Electric
A5 Coupe quattro,2022,Audi,Hybrid Electric
A5 Sportback quattro,2022,Audi,Hybrid Electric
A5 Sportback S line quattro,2022,Audi,Hybrid Electric
A6 Allroad quattro,2022,Audi,Hybrid Electric
A6 quattro,2022,Audi,Hybrid Electric
A7 quattro,2022,Audi,Hybrid Electric
A7 TFSI e quattro,2022,Audi,Plug-in Hybrid Electric
A8L quattro,2022,Audi,Hybrid Electric
e-tron GT,2022,Audi,Electric
e-tron quattro,2022,Audi,Electric
"e-tron S (20"" wheels)",2022,Audi,Electric
"e-tron S (21"" or 22"" wheels)",2022,Audi,Electric
e-tron Sportback quattro,2022,Audi,Electric
"e-tron S Sportback (20"" wheels)",2022,Audi,Electric
"e-tron S Sportback (21"" or 22"" wheels)",2022,Audi,Electric
Q4 e-tron quattro,2022,Audi,Electric
Q4 e-tron Sportback quattro,2022,Audi,Electric
Q5 quattro,2022,Audi,Hybrid Electric
Q5 S line quattro,2022,Audi,Hybrid Electric
Q5 Sportback S line quattro,2022,Audi,Hybrid Electric
Q5 TFSI e quattro,2022,Audi,Plug-in Hybrid Electric
Q7 quattro,2022,Audi,Hybrid Electric
Q8 quattro,2022,Audi,Hybrid Electric
RS 6 Avant,2022,Audi,Hybrid Electric
RS7,2022,Audi,Hybrid Electric
RS e-tron GT,2022,Audi,Electric
RS Q8,2022,Audi,Hybrid Electric
S6,2022,Audi,Hybrid Electric
S7,2022,Audi,Hybrid Electric
S8,2022,Audi,Hybrid Electric
Flying Spur Hybrid,2022,Bentley Motors,Plug-in Hybrid Electric
330e Sedan,2022,BMW,Plug-in Hybrid Electric
330e xDrive,2022,BMW,Plug-in Hybrid Electric
530e Sedan,2022,BMW,Plug-in Hybrid Electric
530e xDrive Sedan,2022,BMW,Plug-in Hybrid Electric
540i Sedan,2022,BMW,Hybrid Electric
540i xDrive Sedan,2022,BMW,Hybrid Electric
745e xDrive,2022,BMW,Plug-in Hybrid Electric
"i4 eDrive40 Gran Coupe (18"" Wheels) ",2022,BMW,Electric
"i4 eDrive40 Gran Coupe (19"" Wheels) ",2022,BMW,Electric
"i4 M50 Gran Coupe (19"" Wheels) ",2022,BMW,Electric
"i4 M50 Gran Coupe (20"" Wheels) ",2022,BMW,Electric
"iX xDrive50 (20"" Wheels) ",2022,BMW,Electric
"iX xDrive50 (21"" Wheels) ",2022,BMW,Electric
"iX xDrive50 (22"" Wheels) ",2022,BMW,Electric
M340i Sedan,2022,BMW,Hybrid Electric
M340i xDrive Sedan,2022,BMW,Hybrid Electric
M440i Convertible,2022,BMW,Hybrid Electric
M440i Coupe,2022,BMW,Hybrid Electric
M440i xDrive Convertible,2022,BMW,Hybrid Electric
M440i xDrive Coupe,2022,BMW,Hybrid Electric
M440i xDrive Gran Coupe,2022,BMW,Hybrid Electric
X3 M40i,2022,BMW,Hybrid Electric
X4 M40i,2022,BMW,Hybrid Electric
X5 sDrive40i,2022,BMW,Hybrid Electric
X5 xDrive40i,2022,BMW,Hybrid Electric
X5 xDrive45e,2022,BMW,Plug-in Hybrid Electric
X6 xDrive40i,2022,BMW,Hybrid Electric
X7 xDrive40i,2022,BMW,Hybrid Electric
Escalade 2WD,2022,Cadillac,Biodiesel (B20)
Escalade 4WD,2022,Cadillac,Biodiesel (B20)
Bolt EUV,2022,Chevrolet,Electric
Bolt EV,2022,Chevrolet,Electric
Colorado 2WD,2022,Chevrolet,Biodiesel (B20)
Colorado 4WD,2022,Chevrolet,Biodiesel (B20)
Colorado ZR2 4WD,2022,Chevrolet,Biodiesel (B20)
Silverado 2WD,2022,Chevrolet,Ethanol (E85)
Silverado 2WD,2022,Chevrolet,Biodiesel (B20)
Silverado 4WD,2022,Chevrolet,Biodiesel (B20)
Silverado 4WD,2022,Chevrolet,Ethanol (E85)
Silverado 4WD - Mud Terrain Tires,2022,Chevrolet,Ethanol (E85)
Silverado 4WD - Mud Terrain Tires,2022,Chevrolet,Biodiesel (B20)
Suburban 2WD,2022,Chevrolet,Biodiesel (B20)
Suburban 4WD,2022,Chevrolet,Biodiesel (B20)
Tahoe 2WD,2022,Chevrolet,Biodiesel (B20)
Tahoe 4WD,2022,Chevrolet,Biodiesel (B20)
Pacifica Hybrid,2022,Chrysler,Plug-in Hybrid Electric
SF90 Spyder,2022,Ferrari,Plug-in Hybrid Electric
SF90 Stradale ,2022,Ferrari,Plug-in Hybrid Electric
Escape AWD HEV,2022,Ford,Hybrid Electric
Escape FWD HEV,2022,Ford,Hybrid Electric
Escape FWD PHEV,2022,Ford,Plug-in Hybrid Electric
Explorer AWD FFV,2022,Ford,Ethanol (E85)
Explorer HEV AWD,2022,Ford,Hybrid Electric
Explorer HEV RWD,2022,Ford,Hybrid Electric
Explorer Platinum HEV ,2022,Ford,Hybrid Electric
F-150 2WD FFV,2022,Ford,Ethanol (E85)
F-150 2WD FFV - Without Start/Stop,2022,Ford,Ethanol (E85)
F-150 2WD FFV - With Start/Stop,2022,Ford,Ethanol (E85)
F-150 4WD FFV,2022,Ford,Ethanol (E85)
F-150 4WD FFV - Without Start/Stop,2022,Ford,Ethanol (E85)
F-150 4WD FFV - With Start/Stop,2022,Ford,Ethanol (E85)
F150 Lightning 4WD,2022,Ford,Electric
F150 Lightning 4WD Extended Range,2022,Ford,Electric
F150 Lightning Platinum 4WD,2022,Ford,Electric
F150 Pickup 2WD HEV,2022,Ford,Hybrid Electric
F150 Pickup 4WD HEV,2022,Ford,Hybrid Electric
Maverick Pickup HEV,2022,Ford,Hybrid Electric
Mustang Mach-E AWD,2022,Ford,Electric
Mustang Mach-E AWD California Route 1,2022,Ford,Electric
Mustang Mach-E AWD Extended,2022,Ford,Electric
Mustang Mach-E GT AWD,2022,Ford,Electric
Mustang Mach-E GT Performance,2022,Ford,Electric
Mustang Mach-E RWD,2022,Ford,Electric
Mustang Mach-E RWD California Route 1,2022,Ford,Electric
Mustang Mach-E RWD Extended,2022,Ford,Electric
Transit Connect Van FFV,2022,Ford,Ethanol (E85)
Transit Connect Wagon LWB FFV,2022,Ford,Ethanol (E85)
Transit T150 Passenger Van 2WD FFV,2022,Ford,Ethanol (E85)
Transit T150 Passenger Van 4WD FFV,2022,Ford,Ethanol (E85)
Canyon 2WD,2022,GMC,Biodiesel (B20)
Canyon 4WD,2022,GMC,Biodiesel (B20)
Sierra 2WD,2022,GMC,Biodiesel (B20)
Sierra 2WD,2022,GMC,Ethanol (E85)
Sierra 4WD,2022,GMC,Biodiesel (B20)
Sierra 4WD,2022,GMC,Ethanol (E85)
Sierra 4WD - Mud Terrain Tires,2022,GMC,Biodiesel (B20)
Sierra 4WD - Mud Terrain Tires,2022,GMC,Ethanol (E85)
Yukon 2WD,2022,GMC,Biodiesel (B20)
Yukon 4WD,2022,GMC,Biodiesel (B20)
Yukon XL 2WD,2022,GMC,Biodiesel (B20)
Yukon XL 4WD,2022,GMC,Biodiesel (B20)
Accord,2022,Honda,Hybrid Electric
Accord Sport/Touring,2022,Honda,Hybrid Electric
CR-V AWD,2022,Honda,Hybrid Electric
Insight,2022,Honda,Hybrid Electric
Insight Touring,2022,Honda,Hybrid Electric
Elantra Hybrid,2022,Hyundai,Hybrid Electric
Elantra Hybrid Blue,2022,Hyundai,Hybrid Electric
Ioniq,2022,Hyundai,Hybrid Electric
Ioniq 5 AWD (Long Range),2022,Hyundai,Electric
Ioniq 5 RWD,2022,Hyundai,Electric
Ioniq 5 RWD (Long Range),2022,Hyundai,Electric
Ioniq Blue,2022,Hyundai,Hybrid Electric
Ioniq Plug-in Hybrid,2022,Hyundai,Plug-in Hybrid Electric
Kona Electric,2022,Hyundai,Electric
Nexo,2022,Hyundai,Hydrogen Fuel Cell
Nexo Blue,2022,Hyundai,Hydrogen Fuel Cell
Santa Fe Hybrid,2022,Hyundai,Hybrid Electric
Santa Fe Hybrid Blue,2022,Hyundai,Hybrid Electric
Santa Fe Plug-in Hybrid,2022,Hyundai,Plug-in Hybrid Electric
Sonata Hybrid,2022,Hyundai,Hybrid Electric
Sonata Hybrid Blue,2022,Hyundai,Hybrid Electric
Tucson Hybrid,2022,Hyundai,Hybrid Electric
Tucson Hybrid Blue,2022,Hyundai,Hybrid Electric
Tucson Plug-in Hybrid,2022,Hyundai,Plug-in Hybrid Electric
E-PACE MHEV,2022,Jaguar,Hybrid Electric
F-PACE P340 MHEV,2022,Jaguar,Hybrid Electric
F-PACE P400 MHEV,2022,Jaguar,Hybrid Electric
Grand Cherokee 4xe,2022,Jeep,Plug-in Hybrid Electric
Wagoneer 4x2,2022,Jeep,Hybrid Electric
Wagoneer 4x4,2022,Jeep,Hybrid Electric
Wrangler 2dr 4x4,2022,Jeep,Hybrid Electric
Wrangler 4dr 4x4,2022,Jeep,Hybrid Electric
Wrangler 4dr 4xe,2022,Jeep,Plug-in Hybrid Electric
EV6 AWD (Long Range) ,2022,Kia,Electric
EV6 RWD,2022,Kia,Electric
EV6 RWD (Long Range) ,2022,Kia,Electric
Niro,2022,Kia,Hybrid Electric
Niro Electric,2022,Kia,Electric
Niro FE,2022,Kia,Hybrid Electric
Niro Plug-in Hybrid,2022,Kia,Plug-in Hybrid Electric
Niro Touring,2022,Kia,Hybrid Electric
Sorento Hybrid AWD,2022,Kia,Hybrid Electric
Sorento Hybrid FWD,2022,Kia,Hybrid Electric
Sorento Plug-in Hybrid,2022,Kia,Plug-in Hybrid Electric
Defender 110 MHEV,2022,Land Rover,Hybrid Electric
Defender 90 MHEV,2022,Land Rover,Hybrid Electric
Discovery MHEV,2022,Land Rover,Hybrid Electric
New Range Rover P360 LWB MHEV,2022,Land Rover,Hybrid Electric
New Range Rover P360 MHEV,2022,Land Rover,Hybrid Electric
New Range Rover P400 LWB MHEV,2022,Land Rover,Hybrid Electric
New Range Rover P400 MHEV,2022,Land Rover,Hybrid Electric
Range Rover Evoque MHEV,2022,Land Rover,Hybrid Electric
Range Rover P360 MHEV,2022,Land Rover,Hybrid Electric
Range Rover P400 MHEV,2022,Land Rover,Hybrid Electric
Range Rover Sport P360 MHEV,2022,Land Rover,Hybrid Electric
Range Rover Sport P400 MHEV,2022,Land Rover,Hybrid Electric
Range Rover Sport PHEV,2022,Land Rover,Plug-in Hybrid Electric
Range Rover Velar P340 MHEV,2022,Land Rover,Hybrid Electric
Range Rover Velar P400 MHEV,2022,Land Rover,Hybrid Electric
ES 300h,2022,Lexus,Hybrid Electric
LC 500h,2022,Lexus,Hybrid Electric
LS 500h AWD,2022,Lexus,Hybrid Electric
NX 350h AWD,2022,Lexus,Hybrid Electric
NX 450+ AWD,2022,Lexus,Plug-in Hybrid Electric
RX 450h AWD,2022,Lexus,Hybrid Electric
RX 450h L AWD,2022,Lexus,Hybrid Electric
UX 250h,2022,Lexus,Hybrid Electric
UX 250h AWD,2022,Lexus,Hybrid Electric
Aviator AWD PHEV,2022,Lincoln,Plug-in Hybrid Electric
Corsair AWD PHEV,2022,Lincoln,Plug-in Hybrid Electric
"Air Dream P AWD w/19"" wheels",2022,"Lucid USA, Inc.",Electric
"Air Dream P AWD w/21"" wheels",2022,"Lucid USA, Inc.",Electric
"Air Dream R AWD w/19"" wheels",2022,"Lucid USA, Inc.",Electric
"Air Dream R AWD w/21"" wheels",2022,"Lucid USA, Inc.",Electric
"Air G Touring AWD w/19"" wheels",2022,"Lucid USA, Inc.",Electric
"Air G Touring AWD w/21"" wheels",2022,"Lucid USA, Inc.",Electric
MX-30,2022,Mazda,Electric
AMG E53 4MATIC+,2022,Mercedes-Benz,Hybrid Electric
AMG E53 4MATIC+ (Convertible),2022,Mercedes-Benz,Hybrid Electric
AMG E53 4MATIC+ (Coupe),2022,Mercedes-Benz,Hybrid Electric
AMG GLE 53 4MATIC+,2022,Mercedes-Benz,Hybrid Electric
AMG GLE 53 4MATIC+ (Coupe),2022,Mercedes-Benz,Hybrid Electric
AMG GLE 63 4MATIC+,2022,Mercedes-Benz,Hybrid Electric
AMG GLE 63 S 4MATIC+,2022,Mercedes-Benz,Hybrid Electric
AMG GLE 63 S 4MATIC+ (coupe),2022,Mercedes-Benz,Hybrid Electric
AMG GT 43 4MATIC+,2022,Mercedes-Benz,Hybrid Electric
AMG GT 53 4MATIC+,2022,Mercedes-Benz,Hybrid Electric
C 300,2022,Mercedes-Benz,Hybrid Electric
C 300 4MATIC,2022,Mercedes-Benz,Hybrid Electric
CLS 450 4MATIC,2022,Mercedes-Benz,Hybrid Electric
E 450 4MATIC,2022,Mercedes-Benz,Hybrid Electric
E 450 4MATIC All-Terrain (wagon),2022,Mercedes-Benz,Hybrid Electric
E 450 4MATIC (Convertible),2022,Mercedes-Benz,Hybrid Electric
E 450 4MATIC (Coupe),2022,Mercedes-Benz,Hybrid Electric
E 450 (Convertible),2022,Mercedes-Benz,Hybrid Electric
E 450 (Coupe),2022,Mercedes-Benz,Hybrid Electric
EQS450+,2022,Mercedes-Benz,Electric
EQS 580 4MATIC,2022,Mercedes-Benz,Electric
GLE 450 4MATIC,2022,Mercedes-Benz,Hybrid Electric
GLE 580 4MATIC,2022,Mercedes-Benz,Hybrid Electric
GLS 450 4MATIC,2022,Mercedes-Benz,Hybrid Electric
GLS 580 4MATIC,2022,Mercedes-Benz,Hybrid Electric
GLS 600 4MATIC Maybach,2022,Mercedes-Benz,Hybrid Electric
S 500 4MATIC,2022,Mercedes-Benz,Hybrid Electric
S 580 4MATIC,2022,Mercedes-Benz,Hybrid Electric
S 580 4MATIC Maybach,2022,Mercedes-Benz,Hybrid Electric
Cooper SE Countryman ALL4,2022,Mini,Plug-in Hybrid Electric
Cooper SE Hardtop 2 door,2022,Mini,Electric
Outlander PHEV,2022,Mitsubishi,Plug-in Hybrid Electric
Leaf (40 kWh battery pack),2022,Nissan,Electric
Leaf (62 kWh battery pack),2022,Nissan,Electric
Leaf SV/SL (62 kWh battery pack),2022,Nissan,Electric
Polestar 2 (Dual Motor),2022,Polestar Automotive USA,Electric
Polestar 2 (Single Motor),2022,Polestar Automotive USA,Electric
Cayenne/Coupe/Platinum e-Hybrid,2022,Porsche,Plug-in Hybrid Electric
Cayenne Turbo S/Coupe e-Hybrid ,2022,Porsche,Plug-in Hybrid Electric
Panamera 4 E-Hybrid Executive,2022,Porsche,Plug-in Hybrid Electric
Panamera 4S E-Hybrid Executive,2022,Porsche,Plug-in Hybrid Electric
Panamera Turbo S E-Hybrid Executive/ST,2022,Porsche,Plug-in Hybrid Electric
Taycan 4 Cross Turismo,2022,Porsche,Electric
Taycan 4S Cross Turismo,2022,Porsche,Electric
Taycan 4S Perf Battery,2022,Porsche,Electric
Taycan 4S Perf Battery Plus,2022,Porsche,Electric
Taycan Perf Battery,2022,Porsche,Electric
Taycan Perf Battery Plus,2022,Porsche,Electric
Taycan Turbo,2022,Porsche,Electric
Taycan Turbo Cross Turismo,2022,Porsche,Electric
Taycan Turbo S,2022,Porsche,Electric
Taycan Turbo S Cross Turismo,2022,Porsche,Electric
1500 4X2,2022,Ram,Hybrid Electric
1500 4X4,2022,Ram,Hybrid Electric
1500 HFE 4X2,2022,Ram,Hybrid Electric
R1S,2022,Rivian ,Electric
R1T,2022,Rivian ,Electric
Model 3 (Long Range) AWD,2022,Tesla,Electric
Model 3 Performance AWD,2022,Tesla,Electric
Model 3 RWD,2022,Tesla,Electric
Model S ,2022,Tesla,Electric
"Model S Plaid (19"" Wheels)",2022,Tesla,Electric
"Model S Plaid (21"" Wheels)",2022,Tesla,Electric
Model X AWD,2022,Tesla,Electric
"Model X Plaid (20"" Wheels)",2022,Tesla,Electric
"Model X Plaid (22"" Wheels)",2022,Tesla,Electric
Model Y AWD,2022,Tesla,Electric
Model Y (Long Range) AWD,2022,Tesla,Electric
Model Y Performance AWD,2022,Tesla,Electric
Model Y RWD,2022,Tesla,Electric
Avalon Hybrid ,2022,Toyota,Hybrid Electric
Avalon Hybrid XLE,2022,Toyota,Hybrid Electric
Camry Hybrid LE,2022,Toyota,Hybrid Electric
Camry Hybrid SE/XLE/XSE,2022,Toyota,Hybrid Electric
Corolla Hybrid,2022,Toyota,Hybrid Electric
Highlander Hybrid,2022,Toyota,Hybrid Electric
Highlander Hybrid AWD,2022,Toyota,Hybrid Electric
Highlander Hybrid AWD LTD/PLAT,2022,Toyota,Hybrid Electric
Mirai LE,2022,Toyota,Hydrogen Fuel Cell
Mirai Limited,2022,Toyota,Hydrogen Fuel Cell
Mirai XLE,2022,Toyota,Hydrogen Fuel Cell
Prius,2022,Toyota,Hybrid Electric
Prius AWD,2022,Toyota,Hybrid Electric
Prius Eco,2022,Toyota,Hybrid Electric
Prius Prime,2022,Toyota,Plug-in Hybrid Electric
RAV4 Hybrid AWD,2022,Toyota,Hybrid Electric
RAV4 Prime AWD,2022,Toyota,Plug-in Hybrid Electric
Sienna AWD,2022,Toyota,Hybrid Electric
TUNDRA 2WD,2022,Toyota,Hybrid Electric
TUNDRA 4WD,2022,Toyota,Hybrid Electric
TUNDRA 4WD PRO,2022,Toyota,Hybrid Electric
Venza AWD,2022,Toyota,Hybrid Electric
ID.4 AWD Pro,2022,Volkswagen,Electric
ID.4 AWD Pro S,2022,Volkswagen,Electric
ID.4 Pro,2022,Volkswagen,Electric
ID.4 Pro S,2022,Volkswagen,Electric
C40 Recharge Twin,2022,Volvo,Electric
S60 T8 AWD Recharge,2022,Volvo,Plug-in Hybrid Electric
S60 T8 AWD Recharge ext. Range,2022,Volvo,Plug-in Hybrid Electric
S90 T8 AWD Recharge,2022,Volvo,Plug-in Hybrid Electric
S90 T8 AWD Recharge ext. Range,2022,Volvo,Plug-in Hybrid Electric
V60 T8 AWD Recharge,2022,Volvo,Plug-in Hybrid Electric
V60 T8 AWD Recharge ext. Range,2022,Volvo,Plug-in Hybrid Electric
XC40 Recharge Twin,2022,Volvo,Electric
XC60 T8 AWD Recharge,2022,Volvo,Plug-in Hybrid Electric
XC60 T8 AWD Recharge ext. Range,2022,Volvo,Plug-in Hybrid Electric
XC90 T8 AWD Recharge,2022,Volvo,Plug-in Hybrid Electric
XC90 T8 AWD Recharge ext. Range,2022,Volvo,Plug-in Hybrid Electric
NSX,2021,Acura,Hybrid Electric
A4 allroad quattro,2021,Audi,Hybrid Electric
A4 quattro,2021,Audi,Hybrid Electric
A4 S line quattro,2021,Audi,Hybrid Electric
A5 Cabriolet quattro,2021,Audi,Hybrid Electric
A5 quattro,2021,Audi,Hybrid Electric
A5 Sportback quattro,2021,Audi,Hybrid Electric
A5 Sportback S line quattro,2021,Audi,Hybrid Electric
A6 Allroad,2021,Audi,Hybrid Electric
A6 quattro,2021,Audi,Hybrid Electric
A7 quattro,2021,Audi,Hybrid Electric
A7 quattro,2021,Audi,Plug-in Hybrid Electric
A8L,2021,Audi,Plug-in Hybrid Electric
A8L,2021,Audi,Hybrid Electric
e-tron,2021,Audi,Electric
e-tron Sportback,2021,Audi,Electric
Q5,2021,Audi,Plug-in Hybrid Electric
Q5,2021,Audi,Hybrid Electric
Q5 Sportback,2021,Audi,Hybrid Electric
Q7,2021,Audi,Hybrid Electric
Q8,2021,Audi,Hybrid Electric
RS 6 Avant,2021,Audi,Hybrid Electric
RS7,2021,Audi,Hybrid Electric
RS Q8,2021,Audi,Hybrid Electric
S6,2021,Audi,Hybrid Electric
S7,2021,Audi,Hybrid Electric
S8,2021,Audi,Hybrid Electric
Bentayga,2021,Bentley Motors,Plug-in Hybrid Electric
330e,2021,BMW,Plug-in Hybrid Electric
330e xDrive,2021,BMW,Plug-in Hybrid Electric
530e,2021,BMW,Plug-in Hybrid Electric
530e xDrive,2021,BMW,Plug-in Hybrid Electric
540i,2021,BMW,Hybrid Electric
540i xDrive,2021,BMW,Hybrid Electric
745e xDrive,2021,BMW,Plug-in Hybrid Electric
i3,2021,BMW,Electric
i3s,2021,BMW,Electric
i3s with Range Extender,2021,BMW,Plug-in Hybrid Electric
i3 with Range Extender,2021,BMW,Plug-in Hybrid Electric
M340i,2021,BMW,Hybrid Electric
M340i xDrive,2021,BMW,Hybrid Electric
M440i Convertible,2021,BMW,Hybrid Electric
M440i xDrive Coupe,2021,BMW,Hybrid Electric
X3 xDrive30e,2021,BMW,Plug-in Hybrid Electric
X5 sDrive40i 2WD,2021,BMW,Hybrid Electric
X5 sDrive40i 4WD,2021,BMW,Hybrid Electric
X5 xDrive45e,2021,BMW,Plug-in Hybrid Electric
X6 sDrive40i 2WD,2021,BMW,Hybrid Electric
X6 sDrive40i 4WD,2021,BMW,Hybrid Electric
X7 sDrive40i 4WD,2021,BMW,Hybrid Electric
Escalade 2WD,2021,Cadillac,Biodiesel (B20)
Escalade 4WD,2021,Cadillac,Biodiesel (B20)
Bolt EV,2021,Chevrolet,Electric
Colorado 2WD,2021,Chevrolet,Biodiesel (B20)
Colorado 4WD,2021,Chevrolet,Biodiesel (B20)
Colorado ZR2 4WD,2021,Chevrolet,Biodiesel (B20)
Silverado 2WD,2021,Chevrolet,Biodiesel (B20)
Silverado 2WD,2021,Chevrolet,Ethanol (E85)
Silverado 4WD,2021,Chevrolet,Ethanol (E85)
Silverado 4WD,2021,Chevrolet,Biodiesel (B20)
Suburban 2WD,2021,Chevrolet,Biodiesel (B20)
Suburban 4WD,2021,Chevrolet,Biodiesel (B20)
Tahoe 2WD,2021,Chevrolet,Biodiesel (B20)
Tahoe 4WD,2021,Chevrolet,Biodiesel (B20)
Pacifica Hybrid,2021,Chrysler,Plug-in Hybrid Electric
SF90 Stradale Coupe,2021,Ferrari,Plug-in Hybrid Electric
Escape AWD HEV,2021,Ford,Hybrid Electric
Escape FWD HEV,2021,Ford,Hybrid Electric
Escape FWD PHEV,2021,Ford,Plug-in Hybrid Electric
Explorer AWD FFV,2021,Ford,Ethanol (E85)
Explorer HEV AWD,2021,Ford,Hybrid Electric
