Year,Brand,Model,Fuel,Fuel_use,Electricity_use,Fuel_elec_cost,Operating_cost,Cost_per_mile,Annual_emissions_lbs_co2
2023,Audi,Q4 e-tron,EV,0,3971,772,2877,0.24,2329.0
2023,Audi,Q4 e-tron quattro,EV,0,4391,854,2959,0.25,2576.0
2023,Audi,Q4 e-tron Sportback,EV,0,4289,834,2939,0.25,2516.0
2023,Audi,Q5 quattro,Hybrid,459,0,1648,3905,0.33,11014.0
2023,Audi,Q7,Hybrid,596,0,2138,4396,0.37,14295.0
2023,Audi,Q8,Hybrid,583,0,2091,4349,0.36,13981.0
2023,Audi,RS Q8,Hybrid,739,0,2653,4911,0.41,17736.0
2023,BMW,Alpina XB7,Hybrid,663,0,2379,4636,0.39,15901.0
2023,BMW,iX M60 (21 inch wheels),EV,0,5162,1003,3108,0.26,3028.0
2023,BMW,iX xDrive50 (20 inch wheels),EV,0,4648,904,3009,0.25,2726.0
2023,BMW,X5 sDrive40i,Hybrid,507,0,1821,4079,0.34,12174.0
2023,BMW,X5 xDrive40i,Hybrid,517,0,1858,4115,0.35,12418.0
2023,BMW,X5 xDrive45e Plug-in,Hybrid,167,5204,1611,3869,0.32,7062.0
2023,BMW,X6 xDrive40i,Hybrid,517,0,1858,4115,0.35,12418.0
2023,BMW,X7 M60i xDrive,Hybrid,647,0,2322,4580,0.38,15523.0
2023,BMW,X7 xDrive40i,Hybrid,517,0,1858,4115,0.35,12418.0
2023,BMW,XM Plug-in,Hybrid,222,3825,1542,3799,0.32,7580.0
2023,Ford,Escape AWD HEV,Hybrid,310,0,1114,3371,0.28,7446.0
2023,Ford,Escape FWD HEV,Hybrid,310,0,1114,3371,0.28,7446.0
2023,Ford,Explorer HEV AWD,Hybrid,485,0,1742,4000,0.34,11647.0
2023,Ford,Explorer HEV RWD,Hybrid,433,0,1554,3812,0.32,10391.0
2023,Ford,Mustang Mach-E GT,EV,0,4869,947,3052,0.26,2856.0
2023,Ford,Mustang Mach-E RWD Extended,EV,0,4113,800,2905,0.24,2413.0
2023,Honda,CR-V AWD,Gasoline,403,0,1448,3706,0.31,9681.0
2023,Honda,CR-V FWD,Gasoline,384,0,1379,3637,0.3,9220.0
2023,Hyundai,Kona Electric,EV,0,3357,653,2758,0.23,1969.0
2023,Hyundai,Santa Fe Plug-in Hybrid Plug-in,Hybrid,112,3663,1116,3374,0.28,4848.0
2023,Hyundai,Tucson Plug-in Hybrid Plug-in,Hybrid,89,3688,1037,3295,0.28,4304.0
2023,Jeep,Grand Cherokee 4xe Plug-in,Hybrid,203,4112,1530,3787,0.32,7295.0
2023,Jeep,Wagoneer 2WD,Hybrid,632,0,2270,4528,0.38,15179.0
2023,Jeep,Wagoneer 4WD,Hybrid,685,0,2458,4715,0.4,16431.0
2023,Jeep,Wrangler 4dr 4xe Plug-in,Hybrid,291,4117,1844,4102,0.34,9395.0
